outcomes,bet_price,title,date
Rand Paul,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Ted Cruz,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Bob Iger,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Chris Murphy,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Jeb Bush,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Martin O'Malley,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Mitch Landrieu,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Tammy Duckworth,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Terry McAuliffe,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Tom Steyer,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Ivanka Trump,15000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Kanye West,15000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Mark Zuckerberg,15000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Tim Kaine,15000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Trey Gowdy,15000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Chelsea Clinton,20000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Leonardo DiCaprio,20000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Will Smith,20000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Joe Rogan,25000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Tom Brady,25000.0,US Presidential Election 2020 - Odds To Win,2019-02-19 19:18:48.150372
Donald Trump,200.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Kamala Harris,500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Beto O'Rourke,800.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Joe Biden,800.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Bernie Sanders,1000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Amy Klobuchar,1500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Elizabeth Warren,2200.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Michael Bloomberg,2500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Tulsi Gabbard,2500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
